[Wed Mar 25 20:46:43.006665 2026] [php:warn] [pid 2692020] [client 10.30.8.22:54838] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/hello
[Wed Mar 25 20:46:51.146756 2026] [php:warn] [pid 2692020] [client 10.30.8.22:54838] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/login
[Wed Mar 25 20:47:23.996774 2026] [php:warn] [pid 2692025] [client 10.30.8.22:54852] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/signup
[Wed Mar 25 20:49:01.523356 2026] [php:warn] [pid 2693251] [client 10.30.8.22:49740] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/
[Wed Mar 25 20:49:15.025738 2026] [php:warn] [pid 2693253] [client 10.30.8.22:52434] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/?search=weqweqw
[Wed Mar 25 20:49:18.723709 2026] [php:warn] [pid 2693253] [client 10.30.8.22:52434] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/?search=%2B7%28666%29
[Wed Mar 25 20:49:24.475608 2026] [php:warn] [pid 2693253] [client 10.30.8.22:52434] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/?search=666
[Wed Mar 25 20:49:26.566039 2026] [php:warn] [pid 2693253] [client 10.30.8.22:52434] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/
[Wed Mar 25 20:49:27.698995 2026] [php:warn] [pid 2693253] [client 10.30.8.22:52434] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/
[Wed Mar 25 20:49:47.560436 2026] [php:warn] [pid 2693255] [client 10.30.8.22:52450] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/login
[Wed Mar 25 20:49:49.219675 2026] [php:warn] [pid 2693255] [client 10.30.8.22:52450] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/login
[Wed Mar 25 20:49:50.430838 2026] [php:warn] [pid 2693255] [client 10.30.8.22:52450] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/
[Wed Mar 25 20:49:51.219819 2026] [php:warn] [pid 2693255] [client 10.30.8.22:52450] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/
[Wed Mar 25 20:49:51.928776 2026] [php:warn] [pid 2693255] [client 10.30.8.22:52450] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/
[Wed Mar 25 20:49:54.320347 2026] [php:warn] [pid 2693255] [client 10.30.8.22:52450] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/login
[Wed Mar 25 20:49:55.163978 2026] [php:warn] [pid 2693255] [client 10.30.8.22:52450] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/
[Wed Mar 25 21:04:36.308219 2026] [php:warn] [pid 2705834] [client 10.30.8.22:45304] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/login
